N,hash,prefix_split_hash,sort,prefix_split_sort
1,5824,8554,17091,11849
2,3934,6731,18809,8595
3,3267,6431,21589,7980
4,3157,6441,17957,7472
5,2975,6206,22040,7119
6,2762,6130,19320,6931
7,2606,6135,18210,7218
8,2544,6166,17011,6857
9,2644,6260,21996,7024
10,2902,6214,21178,7233
11,2680,6126,20775,7209
12,2593,6202,20671,7143
13,2514,6143,18505,6518
14,2630,6351,17853,6584
15,2468,6046,18116,7205
16,2539,6169,16749,6592
