N,hash,prefix_split_hash,sort,prefix_split_sort
1,3155,6292,14856,10554
2,1888,5520,17033,7643
3,1511,5416,19594,6842
4,1321,5258,16323,6579
5,1224,5172,20077,6254
6,1162,5320,18608,6426
7,1123,5543,17519,6286
8,1020,5337,15749,6337
9,989,5446,20461,6450
10,998,5609,21005,6152
11,1080,5838,20086,5860
12,939,5303,17322,5923
13,975,5418,18757,6253
14,1020,5514,17400,6244
15,989,5458,17559,6329
16,956,5445,16372,6269
